[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
[2019-05-10 18:08:57][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:18]Undefined variable: conf
